Reported / Charged;Offence;Region / City;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Reported criminal offences;Nature of the offence, total;Horsens;7242;7811;8080;7726;8121;7250;6946;6142;5928;5606;6425;6442;6375;5034
Reported criminal offences;Nature of the offence, total;Norddjurs;3377;3448;3337;3013;3031;2511;2463;2280;2271;2527;1985;2245;2264;2006
Reported criminal offences;Nature of the offence, total;Odder;1110;1191;1358;1291;1230;1267;1068;1004;869;936;1030;949;802;734
Reported criminal offences;Nature of the offence, total;Randers;8406;9040;9707;9206;9183;8038;8093;7257;7278;8024;7134;6540;7777;7305
Reported criminal offences;Nature of the offence, total;Samsø;209;184;134;189;174;156;154;152;186;177;158;177;163;154
Reported criminal offences;Nature of the offence, total;Silkeborg;6112;6645;6483;6557;6359;6215;5716;5415;4752;4547;5574;5238;4704;4374
Reported criminal offences;Nature of the offence, total;Skanderborg;3561;3549;3960;3794;4105;4125;3942;3525;3149;3109;3380;2933;2795;2082
Reported criminal offences;Nature of the offence, total;Syddjurs;2610;2958;3226;3096;2890;2628;2784;2327;2269;2282;2467;2203;1961;1941
Reported criminal offences;Nature of the offence, total;Aarhus;36884;36637;36443;37205;40270;39099;38435;36011;32220;33315;32480;31581;30534;28031
Reported criminal offences;Nature of the offence, total;Herning;5609;6303;6778;6255;5985;6036;5820;5246;5783;5933;6048;6262;5807;5404
Reported criminal offences;Nature of the offence, total;Holstebro;4267;4546;4270;3983;3975;4030;3844;3573;3314;3086;4212;3922;3860;3134
Reported criminal offences;Nature of the offence, total;Ikast-Brande;2533;2797;2699;3155;3013;2749;2321;2151;1871;2518;10032;16093;10939;4282
Reported criminal offences;Nature of the offence, total;Lemvig;996;888;815;888;861;863;734;675;677;596;631;704;759;794
Reported criminal offences;Nature of the offence, total;Ringkøbing-Skjern;3452;3598;3515;3655;3281;3200;2937;2757;2514;2526;2713;2420;2087;1958
Reported criminal offences;Nature of the offence, total;Skive;3263;3490;3540;3181;3386;2775;2930;2568;2574;2279;2340;2333;2559;2183
Reported criminal offences;Nature of the offence, total;Struer;1115;1483;1355;1119;1149;1099;1061;1041;1046;993;1017;894;1257;979
Reported criminal offences;Nature of the offence, total;Viborg;6179;6173;6448;6394;5951;5215;5472;5438;5089;5114;5132;6860;4955;4550
Reported criminal offences;Nature of the offence, total;Region Nordjylland;44020;46149;47505;44721;49182;43844;44180;39929;37838;37160;37992;36630;33860;28068
Reported criminal offences;Nature of the offence, total;Brønderslev;2438;2171;2038;2206;2451;1981;2105;1901;1613;1673;1782;1798;1605;1428
Reported criminal offences;Nature of the offence, total;Frederikshavn;4929;5175;5968;5027;5408;4226;4142;3459;3724;4028;4255;4695;3579;2932
Reported criminal offences;Nature of the offence, total;Hjørring;5184;4884;4974;4650;4973;4263;4333;3728;4235;4106;4604;3546;3276;2680
Reported criminal offences;Nature of the offence, total;Jammerbugt;2311;2589;2839;2534;2713;2532;2383;1878;2006;1951;1763;1929;1765;1597
Reported criminal offences;Nature of the offence, total;Læsø;35;19;51;53;70;54;65;65;60;39;40;73;56;43
Reported criminal offences;Nature of the offence, total;Mariagerfjord;2739;3153;3416;3237;3434;2837;2797;2861;2548;2299;2067;2329;2139;2038
