Reported / Charged;Offence;Region / City;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Reported criminal offences;Region Sjælland;Offence against public decency by groping;49;54;54;77;70;67;68;69;63;143;128;163;136;144
Reported criminal offences;Region Sjælland;Offence against public decency by indecent exposure;51;48;34;51;81;70;105;126;74;79;53;75;64;97
Reported criminal offences;Region Sjælland;Any other kind of offence against public decency;69;63;53;86;83;88;76;152;91;93;181;175;196;211
Reported criminal offences;Region Sjælland;Prostitution, etc.;47;53;29;29;28;29;22;37;35;29;133;158;87;92
Reported criminal offences;Region Sjælland;Crimes of violence, total;2712;2579;2474;2449;2346;2204;2356;2431;2518;3327;3780;4072;4488;4304
Reported criminal offences;Region Sjælland;Violence against public authority;414;323;344;348;331;328;341;420;451;783;869;998;1029;894
Reported criminal offences;Region Sjælland;Unlawful assembly/disturbance of public order;0;8;1;0;3;1;2;0;0;1;0;47;4;22
Reported criminal offences;Region Sjælland;Homicide;7;10;10;15;9;5;6;9;9;3;5;8;10;11
Reported criminal offences;Region Sjælland;Attempted homicide;33;17;27;16;31;16;24;21;17;21;25;33;28;23
Reported criminal offences;Region Sjælland;Coercive control;0;0;0;0;0;0;0;0;0;0;0;0;40;84
Reported criminal offences;Region Sjælland;Common assault;1381;1256;1207;1176;1103;1015;1079;1126;1189;1433;1484;1553;1721;1646
Reported criminal offences;Region Sjælland;Assault causing actual bodily harm;200;234;246;253;235;236;240;225;196;217;258;231;283;256
Reported criminal offences;Region Sjælland;Particularly aggravated assault;5;1;3;1;2;4;5;1;2;1;3;2;2;2
Reported criminal offences;Region Sjælland;Unprovoked assault;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Region Sjælland;Any other kind of intentional trespass to the person;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Region Sjælland;Intentional bodily harm;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Region Sjælland;Causing death or bodily harm by negligence;12;7;7;5;6;3;1;2;2;3;2;9;3;3
Reported criminal offences;Region Sjælland;Offences against life and limb;60;69;73;69;62;68;60;52;54;73;330;224;178;146
Reported criminal offences;Region Sjælland;Offences against personal liberty;35;34;27;35;39;49;49;61;50;49;55;65;76;102
Reported criminal offences;Region Sjælland;Threats;565;620;529;531;525;479;549;514;548;743;749;902;1114;1115
Reported criminal offences;Region Sjælland;Offences against property, total;52881;64164;65234;59804;57562;52426;51629;47658;43163;46527;42725;36763;33145;31412
Reported criminal offences;Region Sjælland;Forgery;237;189;186;346;172;333;260;301;285;194;265;263;170;137
Reported criminal offences;Region Sjælland;Cheque forgery;33;29;45;22;23;9;11;2;0;0;0;0;0;0
Reported criminal offences;Region Sjælland;Arson;155;141;135;114;119;116;113;175;158;160;278;337;291;237
Reported criminal offences;Region Sjælland;Burglary - business and community;3831;5487;6159;4541;3961;2898;3134;2831;2536;2335;2105;1943;1515;1346
Reported criminal offences;Region Sjælland;Residential burglaries;5585;8249;8866;7741;7881;7286;6916;5891;4331;4574;4608;4313;3912;2803
Reported criminal offences;Region Sjælland;Burglary (uninhabited buildings);2429;2945;3435;3310;3437;2849;2617;2492;2274;2601;2062;1809;1615;1495
Reported criminal offences;Region Sjælland;Theft from conveyances;5953;6216;5431;5582;4104;3592;2996;2598;2668;3058;3959;3504;2234;1836
Reported criminal offences;Region Sjælland;Shoplifting, etc.;2055;2110;2201;2239;2247;2258;2358;2511;2292;2058;1756;1652;1750;1840
Reported criminal offences;Region Sjælland;Other kinds of theft;12955;16301;16446;17248;17455;16333;16938;15294;13677;12622;11628;8502;7659;6440
Reported criminal offences;Region Sjælland;Theft of/taking vehicle without the owners consent (TWOC);2429;3536;3237;2776;2391;1742;1730;1505;1341;1602;1554;1337;1192;1118
Reported criminal offences;Region Sjælland;Theft of/taking moped without the owners consent (TWOC);1242;1082;848;504;467;348;294;287;204;184;133;123;129;94
Reported criminal offences;Region Sjælland;Theft of/taking bicycle without the owners consent (TWOC);6461;7225;7399;6487;6284;6034;5387;5118;4859;4464;3417;3045;3077;2505
Reported criminal offences;Region Sjælland;Theft of/taking other objects without the owners consent (TWOC);1093;1627;1862;1692;1480;1237;1208;1184;1182;1184;1191;1079;1170;1055
Reported criminal offences;Region Sjælland;Theft by finding;95;88;104;106;148;134;115;115;79;96;101;99;89;85
Reported criminal offences;Region Sjælland;Embezzlement;36;43;87;51;107;199;487;350;139;1093;40;17;171;78
Reported criminal offences;Region Sjælland;Fraud;637;857;1067;1172;1444;1486;1912;1744;2542;4345;4005;3604;2517;3429
Reported criminal offences;Region Sjælland;Fraud by cheque;14;52;28;59;24;4;18;16;2;0;0;0;0;0
Reported criminal offences;Region Sjælland;Fraud by abuse of position;17;8;11;9;46;130;13;352;110;350;187;10;23;98
Reported criminal offences;Region Sjælland;Blackmail and usury;33;43;49;35;70;46;55;56;95;78;128;323;200;429
Reported criminal offences;Region Sjælland;Fraud against creditors;13;5;12;21;52;20;23;13;16;9;18;9;7;10
Reported criminal offences;Region Sjælland;Handling stolen goods;151;117;166;193;217;217;251;291;114;482;90;124;110;184
Reported criminal offences;Region Sjælland;Robbery;317;444;472;411;338;297;292;236;219;232;208;173;189;186
Reported criminal offences;Region Sjælland;Aggravated tax evasion etc.;45;41;24;22;19;53;54;49;42;73;41;35;61;38
Reported criminal offences;Region Sjælland;Malicious damage to property;7038;7279;6888;5051;5049;4746;4023;4110;3922;3842;3700;3630;3762;4032
Reported criminal offences;Region Sjælland;Receiving stolen goods by negligence;4;4;1;6;0;4;8;6;0;3;2;0;2;2
Reported criminal offences;Region Sjælland;Offence against and infringement of property;23;46;75;66;27;55;416;131;76;888;1249;832;1300;1935
Reported criminal offences;Region Sjælland;Other offences, total;782;818;847;1067;1099;999;923;915;968;1075;975;993;1192;1222
Reported criminal offences;Region Sjælland;Offences against public authority, etc.;190;168;212;196;288;291;262;246;280;262;251;223;240;161
Reported criminal offences;Region Sjælland;Offences by public servants;9;10;12;6;5;10;11;14;9;26;35;12;23;19
Reported criminal offences;Region Sjælland;Perjury;16;6;16;13;19;12;12;18;13;7;14;16;15;15
Reported criminal offences;Region Sjælland;Any other kind of false statement;153;139;132;197;236;222;153;150;134;130;139;199;116;152
Reported criminal offences;Region Sjælland;Offences concerning money and evidence;62;67;72;80;95;126;140;98;141;184;103;98;114;112
Reported criminal offences;Region Sjælland;Trafficking of drugs, etc.;71;89;79;96;108;90;84;100;115;93;71;82;105;126
Reported criminal offences;Region Sjælland;Smuggling etc. of drugs;10;9;20;20;22;10;9;8;13;10;10;12;17;22
Reported criminal offences;Region Sjælland;General public offences etc.;11;22;71;108;137;56;72;72;51;67;86;77;61;79
Reported criminal offences;Region Sjælland;Illegal trade, etc.;3;0;3;5;5;4;5;14;6;5;4;4;3;4
Reported criminal offences;Region Sjælland;Family relation offences;15;11;3;16;9;11;14;13;9;8;9;16;11;10
Reported criminal offences;Region Sjælland;Involuntary manslaughter etc. in connection with traffic accident;54;50;58;45;36;31;26;26;26;40;44;42;42;27
Reported criminal offences;Region Sjælland;Non-molestation order (Repealed in 2012);112;159;81;106;40;11;0;0;0;0;0;0;0;0
Reported criminal offences;Region Sjælland;Invasion of privacy and defamation;76;88;88;179;99;125;135;156;171;243;209;212;445;495
Reported criminal offences;Region Sjælland;Special acts, total;7668;7726;7832;8948;10392;10750;12640;15003;16391;14262;14740;18683;17612;14774
Reported criminal offences;Region Sjælland;Euphoriants Act;1215;1437;1478;1581;2103;2239;2148;3069;1793;2036;2504;2610;2811;2076
Reported criminal offences;Region Sjælland;The Offensive Weapons Act;845;854;1063;936;1025;1026;941;846;808;1036;1136;2523;3333;2109
Reported criminal offences;Region Sjælland;Tax legislation and fiscal acts, etc.;120;137;131;159;192;583;1000;940;645;747;741;747;786;1029
Reported criminal offences;Region Sjælland;Other special acts in criminal law;2517;2349;2252;2912;3206;2879;4065;5947;9400;6457;6258;8636;6026;5053
Reported criminal offences;Region Sjælland;Health and social security legislation;134;203;195;178;285;183;254;332;237;234;266;226;270;480
Reported criminal offences;Region Sjælland;Building and housing legislation;16;17;18;44;45;30;21;24;31;19;25;23;18;33
Reported criminal offences;Region Sjælland;The environmental protection act;212;330;349;320;339;369;442;337;245;234;320;642;410;573
Reported criminal offences;Region Sjælland;Legislation on animals, hunting, etc.;1100;1158;1159;1478;1647;1468;1275;1217;1140;1050;995;980;1078;1148
Reported criminal offences;Region Sjælland;Legislation on employment, transport, etc.;693;593;530;580;745;1069;1370;1325;1239;1087;1172;1353;1934;1888
Reported criminal offences;Region Sjælland;The Companies Act;19;18;34;35;64;70;69;32;43;85;64;51;82;143
Reported criminal offences;Region Sjælland;Legislation on the national defence;206;177;239;193;118;237;427;411;443;997;1007;621;619;113
Reported criminal offences;Region Sjælland;Legislation applying to public utilities;28;23;61;28;58;23;45;52;40;13;25;13;12;6
Reported criminal offences;Region Sjælland;Legislation on gambling, licencing, trade;537;403;316;491;545;548;562;460;321;254;215;232;212;105
Reported criminal offences;Region Sjælland;Any other special legislation;26;27;7;13;20;26;21;11;6;13;12;26;21;18
Reported criminal offences;Region Sjælland;Special legislation, unspecified;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Region Syddanmark;Nature of the offence, total;104273;113217;115548;110419;110526;99007;96787;93242;85967;84204;85797;85268;83954;78439
Reported criminal offences;Region Syddanmark;Penal Code, total;90736;98515;100942;96090;92035;81546;77470;74407;66116;64483;64149;61344;59037;53152
Reported criminal offences;Region Syddanmark;Penal code, unspecified;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Region Syddanmark;Sexual offenses, total;614;636;575;642;627;608;579;651;733;861;952;1275;1139;1099
Reported criminal offences;Region Syddanmark;Incest, etc.;15;25;12;16;8;24;17;13;14;10;15;11;10;5
Reported criminal offences;Region Syddanmark;Rape, etc.;128;92;117;98;114;99;82;73;102;168;200;221;269;270
Reported criminal offences;Region Syddanmark;Heterosexual offence against a child under 12 (Repealed in 2013);73;56;38;59;49;43;27;0;0;0;0;0;0;0
Reported criminal offences;Region Syddanmark;Sexual offence against a child under 12 (New from 2013);0;0;0;0;0;0;27;34;49;42;55;85;83;73
Reported criminal offences;Region Syddanmark;Any other kind of heterosexual offence (Repealed in 2013);69;109;68;97;76;69;39;0;0;0;0;0;0;0
Reported criminal offences;Region Syddanmark;Sexual offence against a child under 15 (New from 2013);0;0;0;0;0;0;20;52;64;59;49;108;101;71
Reported criminal offences;Region Syddanmark;Any other kind of sexual offence (New from 2013);0;0;0;0;0;0;16;27;24;48;63;64;57;63
Reported criminal offences;Region Syddanmark;Homosexual offence against a child under 12 (Repealed in 2013);4;2;1;3;0;1;2;0;0;0;0;0;0;0
Reported criminal offences;Region Syddanmark;Any other kind of homosexual offence (Repealed in 2013);0;2;2;0;4;0;3;0;0;0;0;0;0;0
Reported criminal offences;Region Syddanmark;Offence against public decency by groping;99;107;105;99;98;126;92;143;130;202;156;198;187;153
Reported criminal offences;Region Syddanmark;Offence against public decency by indecent exposure;79;79;78;95;92;109;100;88;119;122;83;103;80;101
Reported criminal offences;Region Syddanmark;Any other kind of offence against public decency;97;104;108;133;141;92;99;150;149;169;165;283;232;234
Reported criminal offences;Region Syddanmark;Prostitution, etc.;50;60;46;42;45;45;55;71;82;41;166;202;120;129
Reported criminal offences;Region Syddanmark;Crimes of violence, total;4488;4391;4464;4565;4506;4273;3868;3687;3735;4932;5603;6013;6256;5902
Reported criminal offences;Region Syddanmark;Violence against public authority;668;667;646;656;675;749;775;744;848;1203;1329;1532;1489;1657
Reported criminal offences;Region Syddanmark;Unlawful assembly/disturbance of public order;2;0;2;1;2;6;3;3;3;3;1;26;15;9
Reported criminal offences;Region Syddanmark;Homicide;13;11;12;8;12;10;8;8;4;16;10;12;7;9
Reported criminal offences;Region Syddanmark;Attempted homicide;28;25;37;26;24;33;21;24;20;35;27;25;17;22
Reported criminal offences;Region Syddanmark;Coercive control;0;0;0;0;0;0;0;0;0;0;0;0;32;71
Reported criminal offences;Region Syddanmark;Common assault;2319;2265;2252;2323;2264;2057;1906;1719;1739;2228;2359;2549;2570;2191
Reported criminal offences;Region Syddanmark;Assault causing actual bodily harm;371;370;372;378;362;370;275;295;288;324;266;353;327;343
Reported criminal offences;Region Syddanmark;Particularly aggravated assault;8;3;4;1;4;1;0;3;2;2;4;1;0;1
Reported criminal offences;Region Syddanmark;Unprovoked assault;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Region Syddanmark;Any other kind of intentional trespass to the person;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Region Syddanmark;Intentional bodily harm;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Region Syddanmark;Causing death or bodily harm by negligence;8;7;13;3;3;11;3;3;2;4;6;4;7;4
Reported criminal offences;Region Syddanmark;Offences against life and limb;71;79;97;90;75;87;84;55;55;99;452;303;199;186
Reported criminal offences;Region Syddanmark;Offences against personal liberty;70;64;68;71;69;54;49;56;44;53;88;93;211;139
