;;;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
;;Ringsted;10;5;5;3;15;6;2;3;7;1;2;2;1;9
;;Slagelse;20;19;24;27;16;12;19;8;6;12;14;28;20;6
;;Sorø;3;9;3;15;2;2;3;4;2;2;0;3;0;2
;;Stevns;4;2;1;0;2;6;1;4;3;2;1;0;0;14
;;Vordingborg;12;25;3;11;15;2;2;3;0;3;10;6;5;3
;;Assens;16;11;9;4;15;10;2;1;4;3;10;0;6;9
;;Faaborg-Midtfyn;5;6;8;3;10;6;7;7;4;2;6;2;2;4
;;Kerteminde;5;2;3;0;8;2;8;3;15;1;2;2;0;2
;;Langeland;1;7;4;6;0;2;2;1;1;0;0;1;0;0
;;Middelfart;9;11;8;5;6;5;9;16;3;1;0;5;5;4
;;Nordfyns;3;2;4;7;4;3;2;0;0;0;0;1;1;2
;;Nyborg;2;6;5;5;7;2;4;3;8;2;1;1;0;11
;;Odense;134;44;37;32;53;41;41;37;39;22;13;19;14;29
;;Svendborg;16;8;6;11;13;7;17;9;8;1;3;3;3;20
;;Ærø;0;0;1;0;0;1;0;1;0;0;2;0;0;0
;;Billund;2;32;9;11;11;7;4;6;2;0;6;4;12;3
;;Esbjerg;56;55;38;91;45;32;47;24;19;26;13;15;25;33
;;Fanø;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;Fredericia;16;12;9;16;18;2;5;9;4;3;1;5;4;5
;;Haderslev;16;40;23;20;17;15;14;18;10;3;7;7;1;14
;;Kolding;65;40;57;29;37;16;15;27;52;59;21;28;12;5
;;Sønderborg;34;33;25;37;36;5;13;7;14;13;1;5;11;7
;;Tønder;22;13;18;12;10;12;4;3;1;4;5;3;3;3
;;Varde;7;15;7;26;8;12;7;11;18;3;9;38;5;4
;;Vejen;26;18;7;27;21;24;10;23;7;7;1;4;3;2
;;Vejle;44;44;65;69;21;15;40;20;18;12;33;18;12;28
;;Aabenraa;41;28;32;37;45;18;18;35;10;6;7;32;4;32
;;Favrskov;16;15;11;9;10;2;1;2;2;4;3;1;2;2
;;Hedensted;31;5;5;12;9;11;5;6;0;1;4;4;6;4
;;Horsens;47;30;27;27;17;18;25;6;18;10;10;6;10;18
;;Norddjurs;15;14;6;5;7;3;5;6;7;5;2;9;4;9
;;Odder;2;1;1;3;2;1;4;0;0;2;7;0;1;0
;;Randers;54;27;60;19;17;22;35;11;15;18;7;13;9;15
;;Samsø;0;0;0;0;0;1;1;0;0;0;0;1;0;0
;;Silkeborg;9;26;18;25;22;25;23;13;9;1;6;2;7;14
;;Skanderborg;22;10;10;3;13;14;29;8;1;3;2;6;6;7
;;Syddjurs;3;9;8;5;4;7;23;1;3;2;2;4;9;2
;;Aarhus;132;101;100;107;107;107;81;63;58;38;30;51;31;54
;;Herning;15;40;21;32;27;16;18;15;13;17;8;8;27;10
;;Holstebro;4;10;9;16;6;9;6;22;5;2;8;22;3;6
;;Ikast-Brande;3;9;11;25;7;6;6;9;0;2;0;8;19;4
;;Lemvig;2;1;0;1;1;4;2;0;0;0;1;4;2;1
;;Ringkøbing-Skjern;21;4;21;11;5;15;4;11;1;4;15;53;2;3
;;Skive;7;9;9;9;12;10;34;4;16;2;2;4;3;6
;;Struer;2;12;4;4;5;5;3;0;2;2;2;3;9;0
;;Viborg;32;28;15;14;18;13;9;13;16;4;11;3;7;17
;;Brønderslev;30;8;3;24;8;9;5;4;0;1;2;13;2;2
;;Frederikshavn;15;21;19;7;17;18;6;8;8;1;16;16;15;11
;;Hjørring;24;26;18;12;18;11;13;8;4;25;26;11;3;2
;;Jammerbugt;4;11;2;8;14;5;5;2;3;3;4;5;0;2
;;Læsø;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;Mariagerfjord;40;20;25;13;4;6;8;14;2;3;3;16;6;6
;;Morsø;3;12;2;5;4;0;1;2;4;0;1;3;1;1
;;Rebild;3;3;3;2;5;4;28;4;5;0;0;0;1;9
;;Thisted;20;9;16;3;20;5;3;1;3;4;17;16;3;2
;;Vesthimmerlands;4;17;8;8;2;6;12;5;1;2;5;2;3;9
;;Aalborg;48;53;53;49;56;29;41;23;21;15;55;34;13;25
;;Unknown municipality;37;17;32;35;48;17;20;13;10;10;9;11;7;2
;Shoplifting, etc.;Copenhagen;2898;3273;3564;3888;4004;3835;3929;4186;3076;3734;3301;3669;3092;3573
;;Frederiksberg;332;419;400;390;354;449;380;448;261;259;338;324;335;409
;;Dragør;4;7;8;7;4;9;3;0;2;7;2;0;4;5
;;Tårnby;214;440;439;463;338;268;287;217;262;286;386;564;499;162
;;Albertslund;65;93;85;103;94;85;49;96;62;91;114;95;108;104
;;Ballerup;137;157;163;175;155;128;143;121;81;86;124;97;136;132
;;Brøndby;39;19;33;53;49;89;81;75;86;61;55;79;55;96
;;Gentofte;92;89;98;48;72;68;62;50;43;71;93;107;60;79
;;Gladsaxe;145;104;131;122;122;117;112;121;73;57;74;120;61;109
;;Glostrup;158;202;199;193;180;163;167;210;160;161;108;172;128;99
;;Herlev;69;65;96;116;102;132;78;91;55;101;115;147;105;113
;;Hvidovre;122;142;107;198;176;184;95;107;151;131;93;151;134;125
;;Høje-Taastrup;182;213;184;192;148;119;173;265;241;196;204;226;209;200
;;Ishøj;87;138;162;120;157;185;190;200;171;171;191;185;155;175
;;Lyngby-Taarbæk;398;423;337;349;305;359;310;357;369;315;353;389;296;295
;;Rødovre;284;255;201;221;182;224;191;215;215;176;236;214;241;240
;;Vallensbæk;10;5;29;16;19;26;26;30;8;12;7;17;26;27
;;Allerød;16;24;26;43;33;67;37;53;26;72;34;46;13;41
;;Egedal;20;36;35;27;21;41;44;40;33;29;28;22;19;32
;;Fredensborg;22;18;24;41;24;45;50;101;33;13;30;44;36;35
;;Frederikssund;51;72;84;76;86;122;123;82;67;99;120;47;39;57
;;Furesø;25;39;56;88;67;38;37;35;68;38;36;51;34;31
;;Gribskov;14;28;40;34;26;35;36;45;24;25;53;27;24;12
;;Halsnæs;32;46;76;81;88;125;133;74;31;72;55;28;17;22
;;Helsingør;256;263;219;229;224;215;194;198;143;130;168;138;138;228
;;Hillerød;146;135;210;174;125;203;227;169;175;158;149;130;144;141
;;Hørsholm;34;13;20;34;49;19;18;8;20;13;13;16;63;29
;;Rudersdal;45;56;86;56;69;55;53;50;59;57;47;60;56;78
;;Bornholm;58;85;92;91;73;50;50;52;76;58;64;75;28;40
;;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Greve;99;136;197;181;200;217;189;198;181;141;162;153;118;156
;;Køge;100;74;140;117;98;125;125;132;122;89;82;89;80;77
;;Lejre;6;19;13;15;29;34;25;16;14;12;10;9;12;19
;;Roskilde;211;233;239;248;274;296;413;335;271;247;177;209;245;202
;;Solrød;12;30;22;15;12;11;46;10;23;27;26;15;14;14
;;Faxe;30;24;42;33;46;7;22;29;61;57;28;42;24;30
;;Guldborgsund;115;89;64;117;103;104;128;170;130;122;84;70;107;117
;;Holbæk;127;109;142;141;155;160;164;164;105;154;94;57;70;101
;;Kalundborg;62;48;55;65;42;59;67;63;47;45;41;28;13;39
;;Lolland;82;44;64;97;65;87;86;59;54;58;55;52;44;57
;;Næstved;235;160;230;224;221;196;214;226;284;222;120;134;153;155
;;Odsherred;32;38;61;44;48;39;57;34;35;35;37;23;37;36
;;Ringsted;56;43;48;84;78;64;55;102;104;72;56;77;48;76
;;Slagelse;233;222;193;241;247;250;207;250;213;202;159;166;226;229
;;Sorø;31;29;31;23;13;24;20;36;15;26;29;18;15;27
;;Stevns;7;2;3;4;4;11;6;11;6;7;7;6;2;16
;;Vordingborg;82;87;69;57;85;68;46;123;100;45;36;43;47;43
;;Assens;11;34;21;21;34;20;21;18;19;9;6;4;13;25
;;Faaborg-Midtfyn;33;31;31;26;32;50;41;43;24;34;36;28;29;20
;;Kerteminde;16;11;30;23;16;13;23;15;18;8;21;19;9;12
;;Langeland;7;15;19;5;12;20;17;15;9;15;9;6;5;9
;;Middelfart;37;33;32;27;35;68;40;29;21;25;32;33;20;26
;;Nordfyns;21;16;36;27;41;25;22;35;24;30;19;10;23;22
;;Nyborg;45;42;44;49;48;32;77;66;48;42;29;29;25;36
;;Odense;1035;901;1003;1058;1042;1021;958;1120;767;750;773;727;732;817
;;Svendborg;180;148;168;170;132;108;190;196;135;156;97;58;108;68
;;Ærø;2;2;4;1;8;6;2;1;1;9;8;0;0;0
;;Billund;36;12;15;15;17;39;30;21;19;19;11;13;12;40
;;Esbjerg;257;389;426;313;372;378;256;311;320;298;293;344;556;436
;;Fanø;2;7;2;6;6;6;2;3;2;1;7;5;2;4
;;Fredericia;93;125;129;104;97;139;127;136;93;139;92;166;155;128
;;Haderslev;109;91;76;70;74;74;107;75;100;125;68;79;79;77
;;Kolding;308;317;397;336;359;301;304;290;285;218;204;264;199;283
;;Sønderborg;125;140;93;172;134;154;191;132;126;127;181;118;122;160
;;Tønder;45;33;46;31;19;35;40;18;29;23;30;22;40;46
;;Varde;77;58;52;37;60;65;46;57;53;38;36;49;41;41
;;Vejen;35;19;18;29;40;42;48;38;26;36;23;25;28;39
;;Vejle;187;250;264;422;363;347;326;388;353;238;282;213;237;189
;;Aabenraa;78;68;113;92;92;110;81;68;69;82;62;119;90;70
;;Favrskov;18;34;37;30;16;17;24;18;49;41;33;33;25;19
;;Hedensted;22;10;33;27;24;44;22;20;27;39;29;24;18;39
;;Horsens;196;184;265;330;355;352;237;217;249;246;276;376;270;251
;;Norddjurs;41;42;42;47;43;63;48;39;49;51;32;35;33;50
;;Odder;12;6;7;21;20;25;13;19;15;6;9;26;24;13
;;Randers;211;254;237;244;240;352;318;259;188;287;211;184;277;260
;;Samsø;2;2;0;0;1;1;0;2;3;5;0;1;0;7
;;Silkeborg;107;164;179;130;153;169;130;163;109;116;148;110;98;100
;;Skanderborg;39;32;38;41;68;50;71;42;45;56;17;36;30;27
;;Syddjurs;16;19;22;41;32;40;53;52;34;20;15;22;22;34
;;Aarhus;1297;1456;1503;1365;1367;1551;1591;1529;1301;1223;1109;1328;1332;1375
;;Herning;176;222;298;178;135;171;141;136;261;175;172;219;195;190
;;Holstebro;70;108;136;140;131;156;112;124;87;94;118;118;116;106
;;Ikast-Brande;27;49;47;37;55;48;37;33;39;27;33;56;30;48
;;Lemvig;13;27;10;5;11;15;24;9;10;8;6;4;7;7
;;Ringkøbing-Skjern;36;46;33;52;37;64;32;39;28;42;30;28;31;31
;;Skive;80;98;70;42;69;86;43;53;44;36;52;38;48;51
;;Struer;13;23;27;13;24;12;20;16;18;32;20;4;10;21
;;Viborg;160;179;154;146;156;163;160;196;109;145;164;130;195;208
;;Brønderslev;21;31;21;42;39;32;37;31;36;43;61;51;45;40
;;Frederikshavn;109;102;133;67;118;105;102;89;76;55;114;93;72;59
;;Hjørring;119;92;101;82;121;134;103;128;129;129;141;119;83;70
;;Jammerbugt;28;32;25;31;13;23;31;39;29;32;24;17;19;13
;;Læsø;0;0;1;0;0;1;0;1;0;0;0;1;2;0
;;Mariagerfjord;54;50;61;86;69;57;58;61;55;40;37;42;37;39
;;Morsø;5;10;21;20;32;30;23;20;19;20;26;31;24;18
;;Rebild;10;10;4;6;9;5;2;12;11;15;4;3;10;6
;;Thisted;73;37;68;41;53;68;86;50;61;80;42;57;40;38
;;Vesthimmerlands;24;30;41;34;19;45;34;42;39;28;37;33;21;28
;;Aalborg;820;766;903;685;733;764;844;970;849;858;749;787;679;637
;;Unknown municipality;52;45;37;42;65;53;87;114;41;36;27;46;26;38
;Other kinds of theft;Copenhagen;1214;1214;1210;1278;1541;1608;1714;1647;881;1047;945;642;1079;785
;;Frederiksberg;95;85;82;74;151;213;153;128;70;70;51;41;34;67
;;Dragør;5;13;5;11;6;5;5;9;4;1;1;9;5;3
;;Tårnby;91;113;183;180;136;151;91;169;76;61;64;56;91;99
;;Albertslund;43;35;33;46;41;46;35;30;27;58;32;16;11;16
;;Ballerup;58;75;61;81;113;115;157;65;46;108;246;91;23;23
;;Brøndby;85;56;41;67;80;79;58;54;61;40;63;118;35;32
;;Gentofte;95;64;50;55;87;65;74;68;42;34;37;62;25;38
;;Gladsaxe;61;73;68;61;57;76;76;93;83;62;29;62;43;94
;;Glostrup;51;49;55;59;52;64;61;62;35;48;56;26;15;26
;;Herlev;44;55;29;33;52;56;64;25;34;37;33;36;24;19
;;Hvidovre;82;91;81;111;88;79;80;79;85;63;40;49;46;33
;;Høje-Taastrup;78;84;111;92;91;96;74;80;111;55;80;37;46;34
;;Ishøj;43;37;33;45;64;59;21;52;30;41;14;14;17;21
;;Lyngby-Taarbæk;72;67;40;53;94;86;68;61;44;49;34;160;37;73
;;Rødovre;79;54;60;142;119;123;75;58;77;38;31;43;36;48
;;Vallensbæk;10;12;11;10;13;10;12;12;10;7;14;5;24;5
;;Allerød;16;21;15;29;37;22;25;18;14;27;16;10;5;3
;;Egedal;31;35;32;41;33;14;30;27;100;20;31;16;5;9
;;Fredensborg;22;41;32;39;28;40;58;36;24;22;21;17;5;18
;;Frederikssund;56;53;50;77;47;45;65;50;34;33;37;31;5;39
;;Furesø;22;15;22;36;33;52;42;37;31;21;7;21;32;12
;;Gribskov;39;33;41;55;58;75;25;42;25;31;19;18;30;36
;;Halsnæs;32;44;48;36;35;37;19;22;29;16;38;8;18;32
;;Helsingør;95;88;74;122;98;93;204;72;27;41;35;42;19;50
;;Hillerød;75;61;54;83;120;109;81;95;47;63;80;68;25;66
;;Hørsholm;29;19;25;25;50;22;26;20;32;23;14;6;20;18
;;Rudersdal;34;33;41;32;39;42;39;35;44;30;23;26;30;31
;;Bornholm;68;63;59;49;51;90;60;42;59;12;42;27;19;14
;;Christiansø;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;Greve;57;56;70;82;71;65;52;62;49;45;26;69;11;43
;;Køge;68;89;69;72;127;108;148;125;66;62;56;44;46;70
;;Lejre;19;17;25;29;47;53;32;30;16;14;9;13;7;7
;;Roskilde;134;134;119;134;368;229;188;189;188;112;155;329;46;37
;;Solrød;17;14;26;21;24;27;22;25;16;12;46;57;3;6
;;Faxe;19;19;22;54;48;43;70;29;36;48;14;23;21;35
;;Guldborgsund;112;103;126;103;111;94;142;84;100;92;100;72;80;68
;;Holbæk;84;101;88;183;141;134;116;126;76;64;81;75;82;42
;;Kalundborg;77;77;53;88;90;63;58;56;64;77;80;36;23;30
;;Lolland;77;69;100;90;88;62;71;110;115;56;56;74;68;72
;;Næstved;141;118;83;88;174;101;206;116;80;139;167;200;51;125
;;Odsherred;32;40;42;49;61;36;55;64;37;37;48;112;29;23
;;Ringsted;31;20;28;32;61;46;35;53;49;27;28;27;20;13
;;Slagelse;151;121;100;161;240;183;142;129;110;175;165;122;114;764
;;Sorø;30;24;30;31;51;75;38;36;43;38;76;23;28;42
;;Stevns;7;8;10;16;9;14;10;12;10;13;15;7;4;9
;;Vordingborg;66;92;61;78;104;69;77;67;51;40;62;36;45;18
;;Assens;43;69;45;78;73;41;85;64;41;30;27;20;56;90
;;Faaborg-Midtfyn;26;38;34;44;86;47;52;54;37;23;74;30;28;27
;;Kerteminde;32;7;17;21;22;33;38;29;21;8;36;9;24;20
;;Langeland;14;17;18;24;15;24;15;7;8;14;12;5;3;5
;;Middelfart;91;69;37;43;79;61;44;51;35;32;30;24;90;62
;;Nordfyns;18;20;26;34;53;30;26;27;28;17;19;78;20;36
;;Nyborg;41;82;67;96;100;127;86;70;35;42;21;34;27;32
;;Odense;386;265;349;460;426;339;379;324;281;172;257;192;259;373
;;Svendborg;75;87;111;117;142;69;121;68;69;30;44;40;44;31
;;Ærø;4;9;0;4;0;5;3;2;3;0;6;2;0;1
;;Billund;29;30;41;51;76;95;43;41;50;64;32;37;34;24
;;Esbjerg;170;189;209;259;310;224;175;262;159;158;145;180;147;118
;;Fanø;6;3;1;0;5;4;3;3;4;2;5;9;2;4
;;Fredericia;134;155;95;204;187;160;352;130;185;107;75;55;75;72
;;Haderslev;121;97;110;102;164;148;137;158;100;82;98;70;50;35
;;Kolding;203;235;199;176;227;166;204;271;236;110;132;123;107;103
;;Sønderborg;87;129;70;119;147;124;107;121;62;52;75;51;82;69
;;Tønder;83;65;45;57;101;71;99;78;59;38;44;37;61;38
;;Varde;56;44;59;59;98;91;76;65;74;90;90;32;51;23
;;Vejen;97;50;65;89;115;92;119;80;53;51;47;20;21;40
;;Vejle;125;123;152;174;220;235;148;183;139;108;126;101;152;71
;;Aabenraa;138;116;106;128;162;137;142;195;94;85;96;83;91;68
;;Favrskov;38;55;52;50;48;45;37;52;34;83;47;34;20;23
;;Hedensted;45;41;46;73;81;73;40;50;55;60;38;25;19;30
;;Horsens;189;123;151;207;208;222;155;164;166;92;154;94;97;92
;;Norddjurs;61;60;50;67;62;48;37;36;42;417;27;25;27;38
;;Odder;4;17;16;14;15;20;12;21;8;12;22;10;7;4
;;Randers;174;101;167;142;184;172;154;120;92;162;111;75;48;130
;;Samsø;1;3;3;2;4;1;1;4;4;1;3;0;0;1
;;Silkeborg;117;122;127;124;147;168;124;98;94;102;96;73;69;101
;;Skanderborg;89;73;75;93;96;133;126;130;111;48;130;25;25;41
;;Syddjurs;53;49;42;51;70;54;68;39;48;29;29;27;12;46
;;Aarhus;415;396;343;502;510;551;473;530;443;799;381;262;259;257
;;Herning;133;115;152;110;160;132;117;110;112;122;101;187;123;78
;;Holstebro;83;64;78;72;68;85;85;57;68;43;54;36;62;134
;;Ikast-Brande;46;40;43;60;69;95;64;43;26;47;38;15;15;25
;;Lemvig;27;8;8;23;13;16;17;6;15;14;12;8;4;14
;;Ringkøbing-Skjern;61;83;67;65;97;82;79;78;56;77;84;39;30;33
;;Skive;48;50;52;71;94;66;88;70;87;85;69;42;56;31
;;Struer;21;34;16;30;24;16;19;29;22;22;14;8;9;16
;;Viborg;93;104;90;114;139;124;129;150;147;79;91;123;124;69
;;Brønderslev;35;48;45;28;66;58;77;88;35;25;22;98;31;16
;;Frederikshavn;76;61;101;76;98;99;66;76;85;82;52;44;44;52
;;Hjørring;179;108;134;131;129;85;78;90;93;72;55;44;38;36
;;Jammerbugt;22;42;35;33;52;69;65;54;23;13;22;10;16;23
;;Læsø;0;0;2;0;0;0;3;0;1;2;0;0;0;0
;;Mariagerfjord;39;33;51;51;75;67;70;160;44;33;44;25;24;40
;;Morsø;22;24;19;21;33;13;40;7;44;23;35;10;6;22
;;Rebild;21;46;42;24;42;51;49;29;23;15;32;6;29;11
;;Thisted;72;48;42;51;71;46;43;32;40;37;38;37;100;29
;;Vesthimmerlands;36;52;39;41;68;55;87;76;34;30;30;19;14;25
;;Aalborg;344;282;305;295;535;467;448;343;177;186;247;136;138;210
;;Unknown municipality;212;200;189;264;332;269;348;249;153;191;112;108;105;115
;Theft of/taking vehicle without the owners consent (TWOC);Copenhagen;314;294;218;245;216;206;180;188;210;183;230;186;152;170
;;Frederiksberg;32;31;28;30;32;21;15;22;30;24;19;21;17;16
;;Dragør;1;5;5;0;4;2;1;3;2;2;0;4;1;5
;;Tårnby;20;20;27;19;18;14;16;24;19;37;15;16;13;23
;;Albertslund;11;17;9;9;9;10;7;7;10;5;11;8;11;8
;;Ballerup;19;17;21;19;21;14;16;15;21;15;18;12;12;7
;;Brøndby;16;22;23;27;14;18;13;17;22;16;10;17;16;12
;;Gentofte;19;22;24;12;12;18;19;24;6;14;14;18;23;23
;;Gladsaxe;15;16;19;14;13;29;26;8;22;30;18;27;9;16
;;Glostrup;9;16;14;10;8;5;10;12;10;8;8;6;10;6
;;Herlev;17;12;10;15;9;11;11;6;15;11;13;7;7;8
;;Hvidovre;31;30;35;23;20;12;27;20;18;23;16;16;10;15
;;Høje-Taastrup;19;33;32;30;18;29;11;15;12;22;11;11;15;10
;;Ishøj;6;11;12;11;7;11;4;4;17;13;6;8;8;6
;;Lyngby-Taarbæk;5;14;9;17;11;13;14;18;13;4;7;7;9;5
;;Rødovre;15;20;20;29;24;20;13;14;15;19;15;15;18;16
;;Vallensbæk;6;8;8;7;1;2;0;2;3;4;3;2;1;0
;;Allerød;1;2;3;7;1;7;7;5;2;2;5;3;1;1
;;Egedal;2;14;17;22;9;8;5;10;8;7;5;8;4;12
;;Fredensborg;3;8;13;18;2;14;6;9;2;4;6;5;4;4
;;Frederikssund;12;11;14;18;10;15;22;17;12;15;16;16;14;17
;;Furesø;8;12;11;10;10;7;6;10;3;12;8;5;7;4
;;Gribskov;10;11;16;10;7;12;4;13;8;8;13;7;9;5
;;Halsnæs;4;8;14;7;4;10;9;11;8;12;18;9;12;10
;;Helsingør;15;12;19;23;20;13;11;14;14;19;31;13;28;10
;;Hillerød;11;17;19;20;14;9;15;17;18;17;19;5;14;17
;;Hørsholm;0;5;10;50;2;6;3;10;1;3;7;1;4;1
;;Rudersdal;20;8;15;19;19;20;16;13;9;19;11;14;10;8
;;Bornholm;13;18;12;11;17;8;18;5;3;7;4;6;7;7
;;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Greve;10;17;27;20;16;23;11;10;17;15;9;12;13;11
;;Køge;16;25;54;42;39;19;31;15;24;15;18;17;15;23
;;Lejre;8;8;8;16;5;4;4;3;6;1;9;6;6;6
;;Roskilde;24;46;32;26;24;21;17;12;21;21;26;22;21;27
;;Solrød;4;9;3;5;3;6;3;2;5;6;5;4;1;6
;;Faxe;5;18;15;19;9;5;17;12;7;15;15;22;9;27
;;Guldborgsund;36;36;40;17;23;22;32;24;28;35;24;38;31;34
;;Holbæk;14;37;25;20;34;30;23;24;13;35;40;18;16;24
;;Kalundborg;20;31;18;35;41;33;21;37;19;28;16;26;17;22
;;Lolland;33;22;46;20;27;18;27;12;21;36;22;35;24;38
;;Næstved;24;49;27;33;25;22;27;17;27;35;37;28;26;35
;;Odsherred;11;25;17;9;16;15;17;7;12;10;14;22;14;9
;;Ringsted;16;21;9;27;23;22;12;13;12;15;5;17;8;11
;;Slagelse;38;80;40;51;35;47;64;48;36;63;54;41;22;32
;;Sorø;7;5;11;12;9;12;12;14;11;25;19;15;8;14
;;Stevns;8;3;5;4;3;4;6;3;3;6;5;3;3;7
;;Vordingborg;29;28;22;20;22;28;17;14;14;20;19;25;10;17
;;Assens;22;20;29;12;19;12;7;8;14;16;13;15;27;41
;;Faaborg-Midtfyn;32;20;21;19;19;17;15;9;13;9;17;17;14;19
;;Kerteminde;6;5;8;3;4;5;12;7;9;2;2;8;6;11
;;Langeland;3;11;10;5;6;4;2;2;0;3;1;5;8;3
;;Middelfart;17;14;16;14;18;12;16;8;4;4;11;14;10;22
;;Nordfyns;8;19;13;14;11;7;8;5;3;14;11;10;12;9
;;Nyborg;10;16;9;10;5;16;12;8;18;12;7;7;11;9
;;Odense;126;113;99;84;100;84;77;85;85;94;93;81;80;113
;;Svendborg;9;29;23;31;18;11;7;15;21;8;13;11;10;12
;;Ærø;6;9;1;0;1;3;1;2;0;3;2;1;0;0
;;Billund;17;13;17;21;21;15;7;8;13;9;12;15;13;9
;;Esbjerg;73;65;64;74;77;41;36;63;47;39;40;56;31;63
;;Fanø;2;0;0;0;1;1;0;0;0;0;0;0;1;1
;;Fredericia;38;27;30;36;29;28;31;26;18;20;18;24;23;20
;;Haderslev;28;31;38;20;19;35;23;30;25;25;39;31;23;17
;;Kolding;58;45;55;51;45;48;24;50;23;20;33;24;37;35
;;Sønderborg;20;25;45;36;40;5;24;10;9;34;16;16;23;16
;;Tønder;31;28;23;9;24;13;21;11;17;21;11;11;38;15
;;Varde;18;32;26;41;25;16;27;12;10;17;23;17;21;17
;;Vejen;43;24;28;53;41;25;24;14;17;16;14;14;12;9
;;Vejle;45;35;54;49;45;45;37;34;31;35;34;27;32;35
;;Aabenraa;53;44;33;39;31;40;27;20;22;29;22;32;38;30
;;Favrskov;29;18;17;18;15;21;14;10;6;8;10;5;11;8
;;Hedensted;22;26;16;12;22;16;9;13;8;6;2;6;9;13
;;Horsens;86;60;87;45;59;30;34;35;29;22;20;20;22;28
;;Norddjurs;33;23;14;18;9;8;16;11;11;13;11;15;12;10
;;Odder;6;6;8;11;8;4;2;3;5;4;2;1;1;2
;;Randers;44;57;38;48;53;39;50;33;43;27;32;25;33;50
;;Samsø;1;4;0;0;2;2;2;0;0;3;0;0;0;0
;;Silkeborg;15;30;46;33;32;27;36;28;25;25;29;15;28;23
;;Skanderborg;24;22;26;11;21;14;11;10;5;6;8;5;4;4
;;Syddjurs;15;26;15;11;22;12;11;5;12;8;10;6;13;11
;;Aarhus;175;200;181;189;147;147;118;105;49;72;115;86;70;91
;;Herning;29;31;52;34;33;32;22;31;25;38;43;43;45;39
;;Holstebro;17;31;29;28;25;32;15;21;17;15;25;11;18;23
;;Ikast-Brande;18;24;22;34;17;14;8;21;10;26;12;17;30;16
;;Lemvig;9;8;5;6;7;11;3;6;2;1;4;4;7;2
;;Ringkøbing-Skjern;33;23;20;27;22;27;20;25;10;9;15;9;3;21
;;Skive;33;20;16;17;12;16;15;17;25;6;20;24;18;12
;;Struer;10;17;12;12;8;6;10;6;7;2;7;10;1;4
;;Viborg;45;41;42;39;33;29;35;31;39;18;39;52;49;37
;;Brønderslev;13;22;22;16;16;9;13;6;10;5;7;6;4;4
;;Frederikshavn;23;58;35;26;22;20;21;10;23;16;23;19;11;12
;;Hjørring;39;49;40;37;35;20;16;10;19;12;17;6;12;12
;;Jammerbugt;13;13;15;16;16;7;9;9;9;3;4;10;7;8
;;Læsø;1;0;0;0;0;0;0;0;1;0;1;2;0;1
;;Mariagerfjord;26;20;41;25;17;17;14;4;12;9;12;13;11;14
;;Morsø;19;14;19;10;11;10;4;6;10;9;10;10;8;7
;;Rebild;4;14;16;8;17;9;8;7;2;3;8;9;9;3
;;Thisted;15;24;32;21;17;17;11;22;11;5;27;16;12;13
;;Vesthimmerlands;25;36;23;18;20;10;27;17;18;15;15;14;14;3
;;Aalborg;128;143;116;130;134;89;48;47;40;39;60;37;39;33
;;Unknown municipality;33;35;38;20;33;20;48;5;11;7;14;11;11;34
;Theft of/taking moped without the owners consent (TWOC);Copenhagen;45;35;32;23;15;13;7;6;9;6;5;1;8;8
;;Frederiksberg;2;3;3;3;2;2;5;0;0;1;1;0;0;0
;;Dragør;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Tårnby;5;1;5;2;6;1;1;0;1;1;0;1;0;0
;;Albertslund;3;2;1;1;0;0;0;0;0;0;0;3;0;0
;;Ballerup;2;2;9;0;2;1;2;2;2;0;0;0;1;0
;;Brøndby;5;5;1;0;1;1;1;0;0;0;0;0;0;2
;;Gentofte;3;1;0;1;0;0;0;0;0;0;1;0;0;1
;;Gladsaxe;4;7;3;3;0;3;2;0;2;3;0;3;0;2
;;Glostrup;2;3;2;1;0;1;0;0;0;1;0;0;0;0
;;Herlev;6;1;2;4;4;1;3;1;0;0;1;0;1;1
;;Hvidovre;8;6;4;1;9;5;1;0;1;0;0;0;1;1
;;Høje-Taastrup;2;2;2;0;0;3;1;1;2;2;0;1;0;0
;;Ishøj;2;2;0;2;0;0;0;0;0;1;0;0;0;1
;;Lyngby-Taarbæk;5;1;0;1;0;2;0;1;0;1;0;1;1;0
;;Rødovre;7;8;7;1;3;0;1;1;1;0;0;0;1;0
;;Vallensbæk;1;0;1;1;0;0;0;1;0;0;0;0;0;0
;;Allerød;0;1;0;1;0;0;0;0;2;0;0;0;0;0
;;Egedal;1;3;2;0;0;0;1;1;1;0;0;0;0;0
;;Fredensborg;1;3;0;0;0;0;1;1;0;0;0;0;0;0
;;Frederikssund;5;3;6;1;0;0;0;0;0;0;0;0;1;0
;;Furesø;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;Gribskov;0;1;2;1;0;0;0;0;0;0;0;0;0;0
;;Halsnæs;6;10;3;3;0;1;6;2;0;1;0;0;0;0
