;;;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
;;Mariagerfjord;2341;2772;2961;2737;2705;2234;2227;2185;1876;1719;1540;1628;1525;1542
;;Morsø;1216;1182;1124;952;976;1035;1015;1028;771;872;957;669;730;678
;;Rebild;1120;1387;1307;1252;1249;1349;1184;993;924;939;834;721;703;660
;;Thisted;2389;2422;2319;1907;2055;2279;1939;1577;1473;1911;1468;1736;1355;1090
;;Vesthimmerlands;2372;2773;2679;2362;2281;2168;2280;1930;1955;1655;1573;1348;1306;1325
;;Aalborg;15714;16716;16381;15919;17850;15417;15192;13613;12375;11057;11509;10277;9949;8190
;;Unknown municipality;4601;3712;3507;4535;4092;4762;5692;7374;12284;15852;21935;22282;29453;34757
;Penal code, unspecified;Copenhagen;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Frederiksberg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Dragør;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Tårnby;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Albertslund;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Ballerup;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Brøndby;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Gentofte;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Gladsaxe;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Glostrup;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Herlev;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Hvidovre;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Høje-Taastrup;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Ishøj;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Lyngby-Taarbæk;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Rødovre;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Vallensbæk;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Allerød;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Egedal;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Fredensborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Frederikssund;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Furesø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Gribskov;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Halsnæs;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Helsingør;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Hillerød;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Hørsholm;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Rudersdal;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Bornholm;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Greve;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Køge;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Lejre;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Roskilde;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Solrød;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Faxe;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Guldborgsund;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Holbæk;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Kalundborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Lolland;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Næstved;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Odsherred;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Ringsted;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Slagelse;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Sorø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Stevns;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Vordingborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Assens;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Faaborg-Midtfyn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Kerteminde;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Langeland;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Middelfart;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Nordfyns;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Nyborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Odense;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Svendborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Ærø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Billund;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Esbjerg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Fanø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Fredericia;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Haderslev;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Kolding;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Sønderborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Tønder;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Varde;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Vejen;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Vejle;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Aabenraa;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Favrskov;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Hedensted;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Horsens;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Norddjurs;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Odder;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Randers;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Samsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Silkeborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Skanderborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Syddjurs;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Aarhus;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Herning;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Holstebro;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Ikast-Brande;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Lemvig;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Ringkøbing-Skjern;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Skive;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Struer;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Viborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Brønderslev;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Frederikshavn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Hjørring;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Jammerbugt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Læsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Mariagerfjord;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Morsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Rebild;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Thisted;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Vesthimmerlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Aalborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Unknown municipality;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Sexual offenses, total;Copenhagen;210;224;172;166;206;209;202;245;342;432;736;1019;551;701
;;Frederiksberg;23;14;18;16;24;14;16;19;35;71;84;142;57;69
;;Dragør;1;2;5;4;5;6;1;0;5;17;7;8;7;4
;;Tårnby;14;13;13;12;7;9;17;10;40;20;25;94;73;47
;;Albertslund;15;36;27;16;18;16;14;14;13;12;183;36;30;23
;;Ballerup;22;16;11;12;18;21;22;14;20;21;36;35;57;33
;;Brøndby;20;20;15;19;28;24;15;9;8;542;297;28;32;42
;;Gentofte;18;22;12;31;28;31;24;25;19;18;258;171;39;53
;;Gladsaxe;37;22;29;22;17;22;16;19;17;36;78;37;37;35
;;Glostrup;6;7;16;11;13;14;15;7;7;11;23;21;23;26
;;Herlev;15;13;9;17;13;11;26;11;6;16;27;16;33;13
