Charged criminal offences;Offence;Region / City;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Charge;Penal Code, total;Kalundborg;530;524;543;697;533;643;760;495;423;462;617;577;662;392
Charge;Penal Code, total;Lolland;750;641;768;721;722;626;758;668;734;1646;729;882;1213;883
Charge;Penal Code, total;Næstved;963;827;868;829;1088;1067;990;967;834;1521;1048;1395;1015;1142
Charge;Penal Code, total;Odsherred;259;277;389;423;415;414;357;567;334;273;366;340;331;497
Charge;Penal Code, total;Ringsted;341;299;311;396;485;589;349;407;621;388;471;353;373;459
Charge;Penal Code, total;Slagelse;1171;1062;840;1022;1363;1245;1238;1463;1050;1898;1391;1338;1532;2314
Charge;Penal Code, total;Sorø;209;201;219;500;260;256;257;311;298;616;352;394;320;397
Charge;Penal Code, total;Stevns;117;97;90;103;133;140;108;124;98;115;106;140;86;154
Charge;Penal Code, total;Vordingborg;544;573;482;528;714;551;442;549;486;938;990;562;677;654
Charge;Penal Code, total;Assens;346;368;364;468;425;331;285;316;266;237;219;255;330;493
Charge;Penal Code, total;Faaborg-Midtfyn;436;391;433;458;715;461;363;588;399;382;431;343;326;379
Charge;Penal Code, total;Kerteminde;198;116;175;172;148;183;195;183;160;101;144;205;144;220
Charge;Penal Code, total;Langeland;105;152;154;142;114;146;95;107;76;99;81;103;121;109
Charge;Penal Code, total;Middelfart;469;453;340;399;470;447;332;406;272;225;416;365;428;579
Charge;Penal Code, total;Nordfyns;275;265;265;303;294;252;188;233;168;366;215;368;289;291
Charge;Penal Code, total;Nyborg;395;411;500;534;633;550;456;496;404;469;675;369;343;461
Charge;Penal Code, total;Odense;4178;3158;3454;3909;3868;3566;3502;3612;2922;2772;3648;2757;3313;3962
Charge;Penal Code, total;Svendborg;772;817;836;981;771;653;825;698;637;627;805;642;566;602
Charge;Penal Code, total;Ærø;47;55;37;20;26;36;47;19;18;28;38;33;21;21
Charge;Penal Code, total;Billund;220;211;232;325;415;384;341;443;273;276;227;265;317;263
Charge;Penal Code, total;Esbjerg;1750;1860;1903;2002;2226;2015;1884;2018;2047;1902;2006;2180;2365;2133
Charge;Penal Code, total;Fanø;23;23;19;14;27;29;22;29;27;23;45;44;20;26
Charge;Penal Code, total;Fredericia;809;783;785;941;911;779;1283;968;884;725;676;796;1155;894
Charge;Penal Code, total;Haderslev;742;725;736;682;743;866;728;832;845;1289;757;710;674;713
Charge;Penal Code, total;Kolding;1477;1475;1519;1295;1488;1296;1423;1907;1540;1016;1224;1566;1349;1471
Charge;Penal Code, total;Sønderborg;833;793;842;1016;1174;1007;1049;977;783;893;1003;864;875;861
Charge;Penal Code, total;Tønder;487;407;417;424;507;470;474;422;480;475;397;493;1061;540
