Charged criminal offences;Offence;Region / City;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Charge;Robbery;Favrskov;2;6;6;1;4;5;5;1;2;1;3;0;3;8
Charge;Robbery;Hedensted;2;3;3;4;3;2;4;3;0;3;3;1;5;1
Charge;Robbery;Horsens;13;21;26;10;22;17;9;11;9;14;15;12;10;12
Charge;Robbery;Norddjurs;1;8;9;2;5;8;0;7;8;1;3;1;1;4
Charge;Robbery;Odder;1;7;3;5;7;0;4;1;1;0;2;0;2;0
Charge;Robbery;Randers;6;25;19;12;11;14;19;8;8;12;15;18;13;19
Charge;Robbery;Samsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Robbery;Silkeborg;6;8;12;18;7;16;10;12;10;8;14;5;3;5
Charge;Robbery;Skanderborg;0;11;6;7;3;4;7;4;2;3;2;1;2;2
Charge;Robbery;Syddjurs;7;3;7;2;7;1;6;6;2;3;5;3;2;0
Charge;Robbery;Aarhus;97;130;111;102;109;88;77;68;71;63;55;66;58;71
Charge;Robbery;Herning;14;15;32;23;14;12;19;17;17;15;12;14;5;10
Charge;Robbery;Holstebro;4;17;9;8;5;6;4;9;9;1;3;3;6;5
Charge;Robbery;Ikast-Brande;3;3;7;4;3;1;1;5;1;8;6;3;3;5
Charge;Robbery;Lemvig;1;3;2;1;1;2;0;1;2;0;1;0;1;2
Charge;Robbery;Ringkøbing-Skjern;4;5;4;8;2;3;2;4;3;4;7;2;0;1
Charge;Robbery;Skive;3;3;8;5;11;3;2;4;5;3;4;2;4;5
Charge;Robbery;Struer;3;4;5;4;0;2;3;2;3;0;2;1;1;0
Charge;Robbery;Viborg;5;12;13;12;8;12;14;12;8;12;6;6;6;13
Charge;Robbery;Brønderslev;3;12;3;5;7;3;0;1;2;3;1;1;0;2
Charge;Robbery;Frederikshavn;6;6;8;6;9;13;6;5;6;1;10;2;4;7
Charge;Robbery;Hjørring;9;13;8;17;14;6;8;10;7;10;10;10;9;4
Charge;Robbery;Jammerbugt;0;1;5;5;2;1;3;1;1;3;1;3;6;2
Charge;Robbery;Læsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Robbery;Mariagerfjord;6;7;3;5;2;3;2;0;1;2;5;6;2;1
Charge;Robbery;Morsø;2;3;5;5;3;3;0;3;2;1;1;0;1;5
Charge;Robbery;Rebild;2;1;3;0;1;2;0;0;1;1;1;1;0;0
Charge;Robbery;Thisted;4;6;10;3;3;2;5;2;2;2;2;3;1;1
Charge;Robbery;Vesthimmerlands;3;6;7;6;5;5;2;1;2;1;1;2;2;3
Charge;Robbery;Aalborg;35;35;30;36;43;27;25;21;28;15;38;29;32;25
Charge;Robbery;Unknown municipality;5;4;5;8;11;5;3;4;2;0;4;2;2;2
Charge;Aggravated tax evasion etc.;Copenhagen;61;40;15;27;24;24;37;24;12;59;10;10;346;374
Charge;Aggravated tax evasion etc.;Frederiksberg;4;7;1;1;3;1;4;1;1;3;0;8;46;25
Charge;Aggravated tax evasion etc.;Dragør;0;0;0;0;0;1;1;1;1;0;9;2;0;0
Charge;Aggravated tax evasion etc.;Tårnby;25;1;0;0;1;1;2;2;2;4;11;0;0;1
Charge;Aggravated tax evasion etc.;Albertslund;7;4;1;1;0;6;0;30;1;7;1;2;1;5
Charge;Aggravated tax evasion etc.;Ballerup;6;7;1;1;1;0;0;3;2;8;1;0;0;0
Charge;Aggravated tax evasion etc.;Brøndby;8;3;1;0;1;2;0;2;1;7;0;2;1;0
Charge;Aggravated tax evasion etc.;Gentofte;1;2;0;4;1;0;2;2;0;4;5;0;10;4
Charge;Aggravated tax evasion etc.;Gladsaxe;3;3;0;2;1;3;1;1;1;5;0;0;18;1
Charge;Aggravated tax evasion etc.;Glostrup;0;1;0;2;0;0;0;0;0;0;8;0;0;1
Charge;Aggravated tax evasion etc.;Herlev;6;1;0;0;0;2;7;1;6;5;0;0;2;3
Charge;Aggravated tax evasion etc.;Hvidovre;5;2;1;4;4;0;4;7;12;6;0;0;0;0
Charge;Aggravated tax evasion etc.;Høje-Taastrup;4;3;3;2;0;5;0;0;10;6;0;6;0;0
Charge;Aggravated tax evasion etc.;Ishøj;3;2;0;0;0;2;1;0;0;5;0;0;0;1
Charge;Aggravated tax evasion etc.;Lyngby-Taarbæk;2;1;0;1;3;0;1;0;0;0;1;0;0;1
Charge;Aggravated tax evasion etc.;Rødovre;2;4;0;0;3;2;0;1;0;9;3;0;0;1
Charge;Aggravated tax evasion etc.;Vallensbæk;2;0;0;0;0;0;3;0;0;6;0;0;0;0
Charge;Aggravated tax evasion etc.;Allerød;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Aggravated tax evasion etc.;Egedal;0;1;1;7;0;1;0;0;0;4;0;0;0;0
Charge;Aggravated tax evasion etc.;Fredensborg;4;4;0;4;3;0;0;0;0;2;0;0;0;0
Charge;Aggravated tax evasion etc.;Frederikssund;4;5;2;1;1;1;1;0;3;2;0;0;7;0
Charge;Aggravated tax evasion etc.;Furesø;1;0;0;0;4;0;0;0;0;4;0;0;0;1
Charge;Aggravated tax evasion etc.;Gribskov;2;1;3;1;0;2;1;0;1;3;0;0;0;1
Charge;Aggravated tax evasion etc.;Halsnæs;0;4;0;0;0;0;1;4;0;2;0;0;0;0
Charge;Aggravated tax evasion etc.;Helsingør;4;4;3;0;1;0;3;2;2;10;2;3;0;1
Charge;Aggravated tax evasion etc.;Hillerød;3;0;0;0;1;0;0;0;1;1;0;3;0;0
Charge;Aggravated tax evasion etc.;Hørsholm;2;1;0;0;0;1;0;0;1;4;1;4;2;3
Charge;Aggravated tax evasion etc.;Rudersdal;1;3;2;1;4;1;0;2;1;0;0;0;0;1
Charge;Aggravated tax evasion etc.;Bornholm;0;2;2;1;0;0;0;0;0;0;1;0;0;0
Charge;Aggravated tax evasion etc.;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Aggravated tax evasion etc.;Greve;1;2;1;1;1;0;10;6;2;6;0;1;1;10
Charge;Aggravated tax evasion etc.;Køge;3;3;2;0;0;8;3;1;0;5;0;1;0;2
Charge;Aggravated tax evasion etc.;Lejre;0;1;1;1;0;0;3;0;0;2;5;1;0;0
Charge;Aggravated tax evasion etc.;Roskilde;3;0;0;1;0;1;4;1;1;3;0;0;0;0
Charge;Aggravated tax evasion etc.;Solrød;2;0;0;0;0;7;10;0;0;0;1;1;0;0
Charge;Aggravated tax evasion etc.;Faxe;0;0;0;2;0;0;5;0;1;6;2;0;6;0
Charge;Aggravated tax evasion etc.;Guldborgsund;4;0;1;2;1;1;0;2;0;11;3;0;0;0
Charge;Aggravated tax evasion etc.;Holbæk;1;3;0;0;0;1;2;6;5;1;1;1;0;0
Charge;Aggravated tax evasion etc.;Kalundborg;4;0;0;1;0;1;0;6;2;0;0;2;4;1
Charge;Aggravated tax evasion etc.;Lolland;4;5;0;0;0;0;2;0;0;1;0;0;0;0
Charge;Aggravated tax evasion etc.;Næstved;0;1;0;0;2;3;2;15;1;5;0;0;0;1
Charge;Aggravated tax evasion etc.;Odsherred;1;2;2;0;1;3;0;0;0;0;4;0;0;0
Charge;Aggravated tax evasion etc.;Ringsted;0;0;0;0;0;1;0;0;2;0;1;0;0;1
Charge;Aggravated tax evasion etc.;Slagelse;4;2;1;0;0;0;1;2;3;12;0;1;1;1
Charge;Aggravated tax evasion etc.;Sorø;0;0;0;0;1;1;0;0;1;16;0;0;0;0
Charge;Aggravated tax evasion etc.;Stevns;0;0;0;0;1;7;0;0;0;1;4;0;1;5
Charge;Aggravated tax evasion etc.;Vordingborg;0;2;3;4;0;7;0;0;0;0;0;0;2;0
Charge;Aggravated tax evasion etc.;Assens;0;1;0;0;3;0;0;1;0;1;0;0;0;0
Charge;Aggravated tax evasion etc.;Faaborg-Midtfyn;6;3;2;0;1;0;0;0;0;7;0;0;0;0
Charge;Aggravated tax evasion etc.;Kerteminde;0;1;0;0;0;0;5;0;0;0;1;2;0;0
Charge;Aggravated tax evasion etc.;Langeland;0;2;1;0;0;0;0;0;0;0;0;0;0;0
Charge;Aggravated tax evasion etc.;Middelfart;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Charge;Aggravated tax evasion etc.;Nordfyns;1;1;0;0;0;1;0;0;0;0;0;0;0;0
Charge;Aggravated tax evasion etc.;Nyborg;0;9;3;0;0;1;0;0;0;0;0;0;3;0
Charge;Aggravated tax evasion etc.;Odense;3;4;3;0;1;3;2;6;2;0;0;0;0;49
Charge;Aggravated tax evasion etc.;Svendborg;5;1;1;0;0;0;1;0;0;0;0;0;0;44
Charge;Aggravated tax evasion etc.;Ærø;0;1;0;0;0;0;0;0;0;0;0;0;1;0
Charge;Aggravated tax evasion etc.;Billund;0;1;0;1;0;0;2;2;0;0;0;0;3;0
Charge;Aggravated tax evasion etc.;Esbjerg;3;6;2;2;2;1;0;2;4;0;0;1;0;1
Charge;Aggravated tax evasion etc.;Fanø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Aggravated tax evasion etc.;Fredericia;2;5;1;2;1;5;1;4;1;0;0;0;2;0
Charge;Aggravated tax evasion etc.;Haderslev;2;4;0;0;0;1;1;1;2;4;0;0;0;0
Charge;Aggravated tax evasion etc.;Kolding;5;4;0;3;0;2;1;0;0;0;0;1;0;2
Charge;Aggravated tax evasion etc.;Sønderborg;3;0;2;0;1;2;0;0;0;0;1;0;1;0
Charge;Aggravated tax evasion etc.;Tønder;1;0;3;0;1;0;0;2;1;0;0;0;0;0
Charge;Aggravated tax evasion etc.;Varde;4;0;0;0;0;2;4;0;0;0;0;0;0;0
Charge;Aggravated tax evasion etc.;Vejen;4;3;0;0;2;0;0;0;1;6;0;0;0;0
Charge;Aggravated tax evasion etc.;Vejle;4;3;3;0;2;3;9;0;5;0;0;0;2;0
Charge;Aggravated tax evasion etc.;Aabenraa;4;3;0;2;1;6;0;1;4;1;0;0;2;0
Charge;Aggravated tax evasion etc.;Favrskov;1;0;0;0;0;0;0;1;0;0;0;0;0;0
Charge;Aggravated tax evasion etc.;Hedensted;5;1;0;0;1;0;1;0;1;1;0;0;0;0
Charge;Aggravated tax evasion etc.;Horsens;4;0;0;18;5;1;0;2;0;1;0;0;0;1
Charge;Aggravated tax evasion etc.;Norddjurs;0;1;1;0;0;6;0;0;0;0;0;0;0;0
Charge;Aggravated tax evasion etc.;Odder;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Aggravated tax evasion etc.;Randers;11;22;7;4;0;0;0;0;0;0;0;0;5;0
Charge;Aggravated tax evasion etc.;Samsø;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Aggravated tax evasion etc.;Silkeborg;4;0;1;1;2;1;12;5;1;2;1;0;1;5
Charge;Aggravated tax evasion etc.;Skanderborg;2;1;0;2;1;0;0;1;0;17;0;0;1;0
Charge;Aggravated tax evasion etc.;Syddjurs;0;0;1;0;0;1;0;0;0;0;0;0;0;0
Charge;Aggravated tax evasion etc.;Aarhus;29;15;9;32;2;2;5;1;12;5;1;58;10;0
Charge;Aggravated tax evasion etc.;Herning;6;5;0;5;4;1;5;3;3;0;9;0;5;0
Charge;Aggravated tax evasion etc.;Holstebro;1;3;1;0;1;0;2;2;2;0;0;1;0;0
Charge;Aggravated tax evasion etc.;Ikast-Brande;0;3;1;0;0;0;2;0;1;0;0;0;6;0
Charge;Aggravated tax evasion etc.;Lemvig;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Aggravated tax evasion etc.;Ringkøbing-Skjern;1;0;3;0;0;0;2;1;0;0;0;0;0;2
Charge;Aggravated tax evasion etc.;Skive;2;2;1;0;0;0;0;0;0;0;0;0;0;2
Charge;Aggravated tax evasion etc.;Struer;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Charge;Aggravated tax evasion etc.;Viborg;1;5;8;2;4;1;1;0;0;0;7;0;2;3
Charge;Aggravated tax evasion etc.;Brønderslev;0;2;0;3;1;0;0;1;0;8;2;1;0;1
Charge;Aggravated tax evasion etc.;Frederikshavn;4;4;0;0;2;1;3;2;0;0;0;0;1;0
Charge;Aggravated tax evasion etc.;Hjørring;5;1;0;1;2;2;1;0;0;0;0;0;0;2
Charge;Aggravated tax evasion etc.;Jammerbugt;3;2;4;0;0;0;0;0;0;0;0;2;0;0
Charge;Aggravated tax evasion etc.;Læsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Aggravated tax evasion etc.;Mariagerfjord;0;0;0;0;0;3;0;0;0;0;0;0;1;0
Charge;Aggravated tax evasion etc.;Morsø;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Aggravated tax evasion etc.;Rebild;2;4;0;0;1;3;0;0;0;0;1;0;0;3
Charge;Aggravated tax evasion etc.;Thisted;4;2;0;0;1;0;1;0;0;0;0;0;0;1
Charge;Aggravated tax evasion etc.;Vesthimmerlands;1;0;0;0;1;3;0;0;2;0;0;1;0;0
Charge;Aggravated tax evasion etc.;Aalborg;21;9;3;5;6;3;4;3;9;2;16;2;1;9
Charge;Aggravated tax evasion etc.;Unknown municipality;24;16;5;12;16;16;15;21;11;14;42;6;401;95
Charge;Malicious damage to property;Copenhagen;879;771;663;551;667;569;510;522;402;395;374;368;403;349
Charge;Malicious damage to property;Frederiksberg;64;59;46;28;38;29;49;38;28;65;21;46;28;36
Charge;Malicious damage to property;Dragør;7;5;2;4;9;10;2;0;1;4;2;3;23;4
Charge;Malicious damage to property;Tårnby;54;49;48;34;33;34;10;19;26;18;15;19;23;20
Charge;Malicious damage to property;Albertslund;31;24;23;30;19;18;18;21;24;7;17;12;16;22
Charge;Malicious damage to property;Ballerup;35;31;29;19;26;19;17;20;30;11;22;19;25;20
Charge;Malicious damage to property;Brøndby;27;19;16;22;18;25;13;11;24;35;8;17;26;27
Charge;Malicious damage to property;Gentofte;47;35;38;32;28;18;30;46;32;17;16;21;18;14
Charge;Malicious damage to property;Gladsaxe;30;39;24;31;28;39;30;26;20;58;17;36;12;23
Charge;Malicious damage to property;Glostrup;25;15;27;20;12;10;15;17;10;21;13;12;19;14
Charge;Malicious damage to property;Herlev;22;16;10;10;19;20;24;9;23;6;13;10;16;11
Charge;Malicious damage to property;Hvidovre;44;48;28;28;31;29;54;34;21;62;18;27;21;35
Charge;Malicious damage to property;Høje-Taastrup;24;36;36;28;32;22;27;35;39;21;118;31;36;33
Charge;Malicious damage to property;Ishøj;18;26;17;16;25;10;6;17;15;12;20;12;16;17
Charge;Malicious damage to property;Lyngby-Taarbæk;45;17;27;17;22;18;13;8;17;9;10;16;12;9
Charge;Malicious damage to property;Rødovre;44;43;39;17;23;42;24;23;32;20;22;13;17;29
Charge;Malicious damage to property;Vallensbæk;11;2;8;4;4;3;1;2;2;3;3;6;4;3
Charge;Malicious damage to property;Allerød;7;18;17;5;16;13;13;5;10;13;8;4;2;10
Charge;Malicious damage to property;Egedal;15;14;12;8;14;14;9;7;0;4;10;8;5;15
Charge;Malicious damage to property;Fredensborg;17;17;31;21;20;48;22;25;18;11;8;2;7;13
Charge;Malicious damage to property;Frederikssund;38;63;29;31;25;29;19;18;28;23;35;24;14;41
Charge;Malicious damage to property;Furesø;24;9;12;26;22;16;9;5;3;13;6;38;10;12
Charge;Malicious damage to property;Gribskov;23;25;29;20;32;26;15;25;11;18;20;17;8;23
Charge;Malicious damage to property;Halsnæs;28;30;22;29;20;23;24;9;14;23;19;10;11;14
Charge;Malicious damage to property;Helsingør;58;81;58;55;39;57;69;58;34;41;34;26;36;47
Charge;Malicious damage to property;Hillerød;56;30;34;30;38;32;28;45;17;18;20;19;21;29
Charge;Malicious damage to property;Hørsholm;12;5;8;15;5;6;0;3;10;6;3;5;8;12
Charge;Malicious damage to property;Rudersdal;20;9;9;13;28;38;14;11;11;7;3;6;10;9
Charge;Malicious damage to property;Bornholm;51;57;77;48;42;40;54;36;44;42;32;29;29;66
Charge;Malicious damage to property;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Malicious damage to property;Greve;37;14;23;18;25;41;25;20;14;11;15;27;10;22
Charge;Malicious damage to property;Køge;48;43;44;58;32;34;27;24;22;21;35;18;31;31
Charge;Malicious damage to property;Lejre;16;11;18;12;11;9;12;6;13;7;10;16;7;10
Charge;Malicious damage to property;Roskilde;68;62;45;52;70;48;55;39;53;40;47;35;46;61
Charge;Malicious damage to property;Solrød;5;6;4;3;5;11;3;6;3;4;3;5;8;19
Charge;Malicious damage to property;Faxe;23;18;26;11;11;23;26;39;21;24;17;18;17;38
Charge;Malicious damage to property;Guldborgsund;81;75;80;59;52;48;68;48;48;61;55;142;88;90
Charge;Malicious damage to property;Holbæk;60;43;41;31;35;52;32;36;41;23;36;46;49;36
Charge;Malicious damage to property;Kalundborg;39;49;32;45;24;51;17;18;24;23;22;166;34;36
Charge;Malicious damage to property;Lolland;72;69;46;41;48;54;53;35;45;51;36;55;62;65
Charge;Malicious damage to property;Næstved;57;34;43;34;52;57;42;41;38;43;37;42;58;96
Charge;Malicious damage to property;Odsherred;21;18;47;26;27;34;11;26;18;21;22;23;20;30
Charge;Malicious damage to property;Ringsted;17;13;14;32;23;22;14;11;29;17;46;9;21;26
Charge;Malicious damage to property;Slagelse;100;69;44;51;57;44;46;60;43;64;61;82;83;112
Charge;Malicious damage to property;Sorø;16;16;14;20;9;13;12;33;5;21;22;18;12;16
Charge;Malicious damage to property;Stevns;15;18;7;5;19;14;5;4;11;6;8;3;4;6
Charge;Malicious damage to property;Vordingborg;42;32;38;24;44;34;26;46;51;57;43;52;54;60
Charge;Malicious damage to property;Assens;47;37;23;41;27;29;11;18;16;22;11;5;33;29
Charge;Malicious damage to property;Faaborg-Midtfyn;40;30;32;45;34;20;17;25;27;28;16;20;22;26
Charge;Malicious damage to property;Kerteminde;11;16;14;19;4;14;12;10;4;2;8;9;6;12
Charge;Malicious damage to property;Langeland;8;11;11;12;10;11;8;10;5;2;7;8;13;9
Charge;Malicious damage to property;Middelfart;28;27;15;22;39;21;15;17;21;8;20;13;23;14
Charge;Malicious damage to property;Nordfyns;29;40;21;18;9;10;6;14;11;8;12;15;13;22
Charge;Malicious damage to property;Nyborg;28;38;33;17;29;12;18;28;22;12;7;10;14;15
Charge;Malicious damage to property;Odense;236;142;162;156;112;134;104;136;128;117;116;100;176;118
Charge;Malicious damage to property;Svendborg;94;84;54;51;40;42;47;23;52;37;31;25;21;45
Charge;Malicious damage to property;Ærø;14;5;4;0;1;1;2;0;2;3;2;2;0;1
Charge;Malicious damage to property;Billund;10;18;14;6;12;27;12;10;11;14;15;10;20;19
Charge;Malicious damage to property;Esbjerg;186;116;136;88;98;117;97;90;84;77;153;99;97;126
Charge;Malicious damage to property;Fanø;2;8;2;0;2;4;1;1;4;4;2;2;0;6
Charge;Malicious damage to property;Fredericia;77;39;51;28;27;48;36;36;37;38;33;42;39;31
Charge;Malicious damage to property;Haderslev;41;29;51;34;34;56;26;29;56;48;37;55;61;81
Charge;Malicious damage to property;Kolding;97;65;52;60;48;73;51;52;68;43;71;87;61;54
Charge;Malicious damage to property;Sønderborg;51;48;56;51;50;49;48;30;28;38;40;67;56;66
Charge;Malicious damage to property;Tønder;52;24;21;24;38;34;22;22;24;22;40;47;27;26
Charge;Malicious damage to property;Varde;22;20;46;27;31;27;27;26;30;26;41;45;31;44
Charge;Malicious damage to property;Vejen;38;41;23;13;20;17;37;28;21;22;36;16;20;20
Charge;Malicious damage to property;Vejle;72;63;69;65;101;73;45;61;80;56;68;89;82;76
Charge;Malicious damage to property;Aabenraa;78;57;52;58;63;52;42;36;47;31;71;81;44;68
Charge;Malicious damage to property;Favrskov;19;22;28;11;13;16;13;19;9;21;19;29;26;20
Charge;Malicious damage to property;Hedensted;27;22;13;10;47;10;21;15;9;8;23;17;14;28
Charge;Malicious damage to property;Horsens;95;84;89;63;113;67;120;54;66;32;58;55;65;53
Charge;Malicious damage to property;Norddjurs;51;37;42;27;17;29;26;29;24;26;20;29;20;24
Charge;Malicious damage to property;Odder;6;7;19;5;8;4;3;16;7;9;4;12;5;3
Charge;Malicious damage to property;Randers;86;77;114;76;73;79;62;71;45;39;27;57;63;96
Charge;Malicious damage to property;Samsø;2;0;2;4;0;2;2;4;7;3;0;3;8;7
Charge;Malicious damage to property;Silkeborg;92;45;65;97;64;51;66;36;57;48;40;43;49;49
Charge;Malicious damage to property;Skanderborg;42;29;60;10;48;30;14;19;9;38;26;9;10;17
Charge;Malicious damage to property;Syddjurs;23;22;26;46;30;21;24;17;39;22;11;9;14;20
Charge;Malicious damage to property;Aarhus;266;190;165;181;203;223;186;172;159;210;212;187;133;229
Charge;Malicious damage to property;Herning;74;49;58;41;46;78;63;74;67;56;57;52;65;54
Charge;Malicious damage to property;Holstebro;43;41;47;34;45;55;30;35;101;49;44;62;57;52
Charge;Malicious damage to property;Ikast-Brande;22;16;34;27;14;23;11;17;16;29;24;25;51;51
Charge;Malicious damage to property;Lemvig;20;8;14;8;7;13;6;27;16;11;5;14;13;9
Charge;Malicious damage to property;Ringkøbing-Skjern;41;51;17;23;34;23;25;28;27;17;17;17;21;28
Charge;Malicious damage to property;Skive;58;45;43;22;41;23;24;27;105;29;18;36;29;43
Charge;Malicious damage to property;Struer;33;19;26;15;19;13;23;11;31;12;22;13;20;16
Charge;Malicious damage to property;Viborg;52;58;56;68;35;54;64;25;57;38;31;35;91;80
Charge;Malicious damage to property;Brønderslev;31;17;17;16;17;13;25;25;25;7;9;19;17;19
Charge;Malicious damage to property;Frederikshavn;38;26;43;38;37;35;26;42;39;39;61;46;30;39
Charge;Malicious damage to property;Hjørring;89;49;71;47;48;33;28;82;108;113;53;36;25;37
Charge;Malicious damage to property;Jammerbugt;13;26;29;22;32;27;26;21;24;16;5;28;13;16
Charge;Malicious damage to property;Læsø;1;0;5;0;1;2;6;16;0;1;0;0;0;0
Charge;Malicious damage to property;Mariagerfjord;61;45;35;32;30;16;24;12;30;40;22;36;32;36
Charge;Malicious damage to property;Morsø;14;15;15;16;16;17;10;50;19;12;13;12;7;14
Charge;Malicious damage to property;Rebild;13;6;6;6;9;18;8;8;6;5;3;6;3;11
Charge;Malicious damage to property;Thisted;43;44;34;30;34;97;34;21;17;20;34;50;22;37
Charge;Malicious damage to property;Vesthimmerlands;27;29;28;15;15;28;25;28;34;29;38;23;15;17
Charge;Malicious damage to property;Aalborg;106;140;121;144;120;109;105;128;98;97;82;108;108;85
Charge;Malicious damage to property;Unknown municipality;17;10;27;302;6;13;7;106;4;4;15;9;8;1
Charge;Receiving stolen goods by negligence;Copenhagen;1;4;2;1;4;0;2;3;1;1;1;0;1;0
Charge;Receiving stolen goods by negligence;Frederiksberg;0;0;0;0;0;0;1;0;1;1;0;0;0;0
Charge;Receiving stolen goods by negligence;Dragør;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Tårnby;1;0;0;0;0;1;0;0;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Albertslund;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Charge;Receiving stolen goods by negligence;Ballerup;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Brøndby;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Gentofte;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Gladsaxe;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Glostrup;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Herlev;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Hvidovre;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Høje-Taastrup;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Ishøj;0;0;0;0;0;0;0;1;0;0;1;0;0;0
Charge;Receiving stolen goods by negligence;Lyngby-Taarbæk;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Rødovre;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Vallensbæk;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Allerød;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Egedal;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Fredensborg;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Charge;Receiving stolen goods by negligence;Frederikssund;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Furesø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Gribskov;0;0;3;0;0;0;0;1;1;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Halsnæs;1;0;0;1;0;0;0;0;0;0;0;0;1;0
Charge;Receiving stolen goods by negligence;Helsingør;0;2;0;0;0;0;0;0;1;0;0;0;0;1
Charge;Receiving stolen goods by negligence;Hillerød;1;0;0;0;0;0;0;1;0;0;0;0;0;1
Charge;Receiving stolen goods by negligence;Hørsholm;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Rudersdal;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Bornholm;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Greve;0;0;0;1;0;0;0;0;0;1;1;0;1;0
Charge;Receiving stolen goods by negligence;Køge;0;0;0;0;0;0;0;1;0;1;0;0;0;0
Charge;Receiving stolen goods by negligence;Lejre;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Roskilde;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Solrød;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Faxe;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Guldborgsund;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Holbæk;1;1;0;1;0;2;3;0;0;0;1;0;0;0
Charge;Receiving stolen goods by negligence;Kalundborg;0;0;0;0;0;1;2;1;0;0;0;0;0;1
Charge;Receiving stolen goods by negligence;Lolland;2;1;0;2;0;0;0;1;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Næstved;1;1;0;0;0;1;1;1;0;1;0;0;0;0
Charge;Receiving stolen goods by negligence;Odsherred;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Ringsted;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Slagelse;0;0;0;0;0;0;1;1;0;0;0;0;1;0
Charge;Receiving stolen goods by negligence;Sorø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Receiving stolen goods by negligence;Stevns;0;0;0;0;0;0;0;0;0;0;0;0;0;0
